  YR   DOY     ChlAtl    ChlIo     ChlPac     adg443Atl   adg443Io    adg443Pac   a443Atl     a443Io	  a443Pac
 2002 197.0     0.169     0.193       NaN     0.00983     0.01104         NaN     0.03185     0.03353         NaN
 2002 228.0     0.174     0.160     0.125     0.01196     0.01037     0.00776     0.03265     0.03018     0.02564
 2002 258.5     0.213     0.174     0.138     0.01339     0.01153     0.00934     0.03685     0.03231     0.02771
 2002 289.0     0.287     0.206     0.147     0.01588     0.01206     0.00965     0.04274     0.03550     0.02914
 2002 319.5     0.401     0.315     0.244     0.01728     0.01352     0.01021     0.05054     0.04366     0.03674
 2002 350.0     0.400     0.301     0.299     0.01416     0.01278     0.01010     0.04935     0.04209     0.04095
 2003  16.0     0.406     0.243     0.167     0.01452     0.01233     0.00996     0.04908     0.03802     0.03089
 2003  45.5     0.414     0.217     0.160     0.01585     0.01301     0.00973     0.05056     0.03604     0.02963
 2003  75.0     0.311     0.207     0.163     0.01514     0.01182     0.00947     0.04524     0.03519     0.03009
 2003 105.5     0.248     0.204     0.129     0.01245     0.01099     0.00794     0.04000     0.03511     0.02718
 2003 136.0     0.228     0.201     0.144     0.01046     0.00990     0.00848     0.03838     0.03500     0.02905
 2003 166.5     0.225     0.275       NaN     0.01286     0.01128         NaN     0.03894     0.04092         NaN
 2003 197.0     0.205     0.178       NaN     0.01281     0.01121         NaN     0.03585     0.03274         NaN
 2003 228.0     0.211     0.181     0.149     0.01540     0.01334     0.01084     0.03657     0.03356     0.02904
 2003 258.5     0.249     0.194     0.158     0.01689     0.01420     0.01210     0.04000     0.03478     0.03060
 2003 289.0     0.443     0.279     0.189     0.02078     0.01509     0.01297     0.05226     0.04066     0.03382
 2003 319.5     0.505     0.380     0.272     0.01880     0.01497     0.01129     0.05687     0.04800     0.03940
 2003 350.0     0.477     0.436     0.358     0.01647     0.01376     0.01012     0.05475     0.05030     0.04421
 2004  16.0     0.402     0.313     0.273     0.01550     0.01267     0.01050     0.04996     0.04207     0.03861
 2004  46.0     0.346     0.219     0.168     0.01462     0.01183     0.01047     0.04585     0.03545     0.03137
 2004  76.0     0.366     0.207     0.158     0.01506     0.01232     0.00984     0.04781     0.03514     0.03057
 2004 106.5     0.318     0.205     0.146     0.01510     0.01095     0.00914     0.04561     0.03534     0.02972
 2004 137.0     0.273     0.226     0.164     0.01326     0.01138     0.00818     0.04252     0.03768     0.03165
 2004 167.5     0.308     0.213       NaN     0.01772     0.01116         NaN     0.04794     0.03663         NaN
 2004 198.0     0.257     0.208       NaN     0.01645     0.01351         NaN     0.04209     0.03628         NaN
 2004 229.0     0.230     0.184     0.155     0.01639     0.01253     0.01182     0.03897     0.03356     0.03023
 2004 259.5     0.243     0.190     0.158     0.01903     0.01318     0.01226     0.04099     0.03423     0.03060
 2004 290.0     0.280     0.277     0.169     0.01911     0.01657     0.01241     0.04392     0.04144     0.03201
 2004 320.5     0.348     0.364     0.213     0.01664     0.01728     0.01235     0.04743     0.04860     0.03591
 2004 351.0     0.516     0.314     0.360     0.01884     0.01544     0.01190     0.05740     0.04364     0.04525
 2005  16.0     0.448     0.261     0.221     0.01753     0.01431     0.01138     0.05292     0.03935     0.03487
 2005  45.5     0.450     0.236     0.165     0.01950     0.01392     0.01092     0.05409     0.03763     0.03094
 2005  75.0     0.368     0.212     0.164     0.01964     0.01327     0.01092     0.05038     0.03588     0.03099
 2005 105.5     0.313     0.198     0.156     0.01816     0.01231     0.01136     0.04678     0.03489     0.03053
 2005 136.0     0.328     0.228     0.254     0.01876     0.01403     0.01657     0.04816     0.03806     0.04145
 2005 166.5     0.353     0.241       NaN     0.02559     0.01594         NaN     0.05307     0.04034         NaN
 2005 197.0     0.218     0.182       NaN     0.01297     0.01156         NaN     0.03765     0.03362         NaN
 2005 228.0     0.214     0.184     0.154     0.01620     0.01411     0.01227     0.03783     0.03396     0.03021
 2005 258.5     0.223     0.183     0.154     0.01579     0.01291     0.01100     0.03857     0.03366     0.03003
 2005 289.0     0.274     0.234     0.162     0.01624     0.01265     0.01129     0.04307     0.03778     0.03109
 2005 319.5     0.409     0.327     0.188     0.01568     0.01473     0.01102     0.05231     0.04465     0.03355
 2005 350.0     0.526     0.341     0.249     0.01892     0.01595     0.01170     0.05970     0.04600     0.03774
 2006  16.0     0.436     0.260     0.199     0.02009     0.01488     0.01147     0.05114     0.03931     0.03342
 2006  45.5     0.347     0.205     0.156     0.01665     0.01368     0.01096     0.04543     0.03490     0.02996
 2006  75.0     0.350     0.200     0.153     0.01878     0.01348     0.01044     0.04841     0.03513     0.02992
 2006 105.5     0.357     0.207     0.158     0.02330     0.01401     0.01097     0.05139     0.03613     0.03044
 2006 136.0     0.281     0.244     0.208     0.01897     0.01728     0.01755     0.04353     0.03955     0.03608
 2006 166.5     0.302     0.241       NaN     0.02578     0.01923         NaN     0.04770     0.04034         NaN
 2006 197.0     0.223     0.204       NaN     0.01840     0.01530         NaN     0.03927     0.03644         NaN
 2006 228.0     0.217     0.188     0.159     0.01663     0.01480     0.01295     0.03814     0.03468     0.03095
 2006 258.5     0.229     0.187     0.151     0.01635     0.01341     0.01261     0.03907     0.03427     0.02987
