 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 1997  9 15     0.04002     0.03362     0.03482     0.03448     0.03511     0.04080     0.03213     0.03095     0.03261     0.03336     0.04796     0.05629     0.03461     0.03362     0.03132
 1997 10 16     0.03949     0.03408     0.03618     0.03586     0.03183     0.04185     0.03169     0.03060     0.03593     0.02584     0.04602     0.05765     0.03594     0.03598     0.03156
 1997 11 15     0.03822     0.03608     0.03721     0.03808     0.02948     0.03816     0.03265     0.03735     0.04432     0.03384     0.04399     0.06152     0.03942     0.03928     0.03476
 1997 12 16     0.03778     0.03696     0.03921     0.04312     0.03464     0.03560     0.03316     0.04353     0.04456     0.05472     0.04013     0.05984     0.04569     0.04010     0.05142
 1998  1 16     0.03386     0.03482     0.03523     0.03661     0.03288     0.03183     0.02967     0.03468     0.03515     0.05531     0.03946     0.05934     0.04638     0.03924     0.05117
 1998  2 14     0.03361     0.03454     0.03229     0.03117     0.03053     0.02930     0.03227     0.02755     0.03103     0.05172     0.03753     0.05605     0.03875     0.03882     0.04807
 1998  3 16     0.03463     0.03399     0.03134     0.02857     0.03100     0.03056     0.03310     0.02686     0.02752     0.03961     0.04057     0.06009     0.03572     0.03749     0.03902
 1998  4 15     0.03423     0.03431     0.03073     0.02744     0.02828     0.03288     0.03231     0.02759     0.02687     0.04459     0.04144     0.05519     0.03504     0.03543     0.03024
 1998  5 16     0.03491     0.03301     0.03134     0.03072     0.02458     0.03616     0.03150     0.02830         NaN         NaN     0.04241     0.05472     0.03425     0.03501     0.02762
 1998  6 15     0.03440     0.03233     0.03336     0.03733         NaN     0.03463     0.03081         NaN         NaN         NaN     0.04078     0.06657     0.03493         NaN         NaN
 1998  7 16     0.03492     0.02989     0.03050     0.03076         NaN     0.03657     0.03103         NaN         NaN         NaN     0.04051     0.08079     0.03272     0.03014         NaN
 1998  8 16     0.03609     0.02970     0.03008     0.02973     0.02690     0.03796     0.02939     0.02692     0.03091         NaN     0.04328     0.05517     0.03158     0.03134     0.03027
 1998  9 15     0.03748     0.03080     0.03107     0.03047     0.02813     0.04082     0.03098     0.02792     0.02841         NaN     0.04533     0.05435     0.03270     0.03380     0.03075
 1998 10 16     0.03836     0.03142     0.03372     0.03294     0.03081     0.04013     0.03077     0.03005     0.03251         NaN     0.04579     0.06096     0.03416     0.04028     0.03538
 1998 11 15     0.03530     0.03234     0.03842     0.03853     0.03150     0.03650     0.03109     0.03322     0.04109     0.04654     0.04364     0.05968     0.03802     0.04279     0.03370
 1998 12 16     0.03345     0.03346     0.04009     0.04369     0.03719     0.03237     0.03245     0.03844     0.04397     0.08608     0.04144     0.05523     0.04484     0.04301     0.04150
 1999  1 16     0.03241     0.03328     0.03257     0.03536     0.04390     0.02701     0.03276     0.03348     0.03909     0.05599     0.04241     0.06188     0.05049     0.04206     0.04708
