 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 1997  9 15     0.01363     0.01132     0.01374     0.01505     0.01343     0.01351     0.01116     0.01258     0.01461     0.01045     0.01663     0.02181     0.01358     0.01437     0.01306
 1997 10 16     0.01273     0.01092     0.01237     0.01311     0.01157     0.01376     0.01050     0.01118     0.01337     0.00785     0.01537     0.02023     0.01229     0.01321     0.01308
 1997 11 15     0.01146     0.01019     0.01222     0.01288     0.01032     0.01211     0.01000     0.01192     0.01399     0.00800     0.01396     0.02085     0.01294     0.01359     0.01177
 1997 12 16     0.01139     0.01017     0.01199     0.01273     0.00940     0.01148     0.00933     0.01105     0.01256     0.00996     0.01286     0.02103     0.01182     0.01205     0.01222
 1998  1 16     0.01051     0.01021     0.01172     0.01154     0.00911     0.01099     0.00908     0.01054     0.01154     0.00992     0.01252     0.02125     0.01236     0.01160     0.01096
 1998  2 14     0.01055     0.01057     0.01102     0.01077     0.00924     0.01019     0.00979     0.01019     0.01110     0.01061     0.01173     0.02070     0.01286     0.01212     0.01171
 1998  3 16     0.01126     0.01040     0.01120     0.01073     0.00951     0.01111     0.01061     0.00969     0.01090     0.01202     0.01264     0.02353     0.01210     0.01255     0.01223
 1998  4 15     0.01150     0.01127     0.01113     0.01059     0.01024     0.01227     0.01046     0.00970     0.01064     0.01160     0.01398     0.02255     0.01294     0.01301     0.01095
 1998  5 16     0.01334     0.01161     0.01181     0.01239     0.00924     0.01413     0.01048     0.00952         NaN         NaN     0.01629     0.02278     0.01245     0.01380     0.01038
 1998  6 15     0.01347     0.01154     0.01200     0.01227         NaN     0.01351     0.01098         NaN         NaN         NaN     0.01598     0.02889     0.01224         NaN         NaN
 1998  7 16     0.01406     0.01114     0.01156     0.01212         NaN     0.01481     0.01063         NaN         NaN         NaN     0.01578     0.03917     0.01204     0.01079         NaN
 1998  8 16     0.01502     0.01122     0.01189     0.01270     0.01291     0.01520     0.01098     0.00996     0.01429         NaN     0.01775     0.02425     0.01156     0.01434     0.01444
 1998  9 15     0.01389     0.01060     0.01184     0.01224     0.01059     0.01533     0.01120     0.01168     0.01308         NaN     0.01682     0.02546     0.01249     0.01350     0.01223
