  YR   DOY     ChlAtl    ChlIo     ChlPac     adg443Atl   adg443Io    adg443Pac   a443Atl     a443Io	  a443Pac
 1997 258.5     0.211     0.221     0.160     0.01567     0.01589     0.01379     0.03705     0.03738     0.03135
 1997 289.0     0.252     0.233     0.157     0.01550     0.01401     0.01249     0.04002     0.03806     0.03127
 1997 319.5     0.272     0.293     0.208     0.01447     0.01393     0.01260     0.04066     0.04213     0.03570
 1997 350.0     0.341     0.332     0.313     0.01356     0.01381     0.01203     0.04478     0.04437     0.04211
 1998  16.0     0.404     0.255     0.182     0.01508     0.01319     0.01131     0.04993     0.03927     0.03311
 1998  45.5     0.322     0.217     0.131     0.01497     0.01301     0.01079     0.04422     0.03673     0.02843
 1998  75.0     0.298     0.205     0.137     0.01638     0.01358     0.01096     0.04346     0.03578     0.02831
 1998 105.5     0.260     0.201     0.143     0.01750     0.01418     0.01160     0.04165     0.03574     0.02894
 1998 136.0     0.211     0.193     0.147     0.01630     0.01505     0.01104     0.03747     0.03498     0.02888
 1998 166.5     0.195     0.201       NaN     0.01470     0.01610         NaN     0.03547     0.03625         NaN
 1998 197.0     0.197     0.174     0.155     0.01617     0.01449     0.01302     0.03612     0.03277     0.03050
 1998 228.0     0.197     0.171     0.140     0.01750     0.01432     0.01282     0.03616     0.03226     0.02801
 1998 258.5     0.221     0.188     0.143     0.01721     0.01409     0.01306     0.03824     0.03409     0.02858
 1998 289.0     0.266     0.225     0.149     0.01625     0.01326     0.01179     0.04135     0.03680     0.02982
 1998 319.5     0.376     0.269     0.180     0.01490     0.01307     0.01199     0.04817     0.04031     0.03331
 1998 350.0     0.454     0.336     0.273     0.01564     0.01322     0.01189     0.05318     0.04427     0.03972
 1999  16.0     0.485     0.241     0.203     0.01565     0.01296     0.01177     0.05470     0.03770     0.03543
 1999  45.5     0.406     0.215     0.149     0.01840     0.01282     0.01149     0.05181     0.03599     0.03125
 1999  75.0     0.332     0.197     0.152     0.01691     0.01308     0.01182     0.04597     0.03489     0.03101
 1999 105.5     0.259     0.209     0.139     0.01706     0.01385     0.01155     0.04168     0.03616     0.02891
 1999 136.0     0.243     0.197     0.146     0.01722     0.01467     0.01120     0.04092     0.03564     0.02946
 1999 166.5     0.235     0.201       NaN     0.01676     0.01523         NaN     0.03966     0.03613         NaN
 1999 197.0     0.199     0.181     0.169     0.01592     0.01479     0.01224     0.03580     0.03380     0.02981
 1999 228.0     0.186     0.184     0.144     0.01627     0.01594     0.01325     0.03506     0.03434     0.02867
