 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 1997  9 15     0.25504     0.18112     0.18853     0.17979     0.21585     0.26715     0.17723     0.15366     0.16648     0.10820     0.34564     0.47131     0.19656     0.17477     0.16552
 1997 10 16     0.25901     0.18716     0.20684     0.20181     0.15529     0.28875     0.17102     0.14497     0.20121     0.09423     0.33541     0.47894     0.20144     0.20470     0.16380
 1997 11 15     0.25415     0.21564     0.22538     0.25342     0.15500     0.26712     0.18598     0.22155     0.33133     0.22698     0.32013     0.57954     0.24665     0.25308     0.23073
 1997 12 16     0.25694     0.22807     0.25853     0.35609     0.31321     0.24081     0.20120     0.33682     0.35429     0.71735     0.29085     0.54378     0.35244     0.28682     0.69934
 1998  1 16     0.21884     0.19447     0.20114     0.23786     0.32963     0.19977     0.15548     0.20036     0.21936     0.80755     0.29455     0.51265     0.35499     0.28121     0.53917
 1998  2 14     0.21273     0.19049     0.16720     0.17124     0.19018     0.17039     0.19990     0.11852     0.16079     0.65486     0.27376     0.45597     0.24085     0.27650     0.46556
 1998  3 16     0.21331     0.18079     0.15432     0.13762     0.18531     0.17914     0.19398     0.12173     0.13357     0.34222     0.30567     0.49995     0.19905     0.24663     0.28639
 1998  4 15     0.20507     0.18465     0.15164     0.12526     0.12579     0.19304     0.17841     0.12859     0.12525     0.35541     0.29430     0.43228     0.18937     0.19851     0.15387
 1998  5 16     0.20321     0.17650     0.15717     0.15179     0.10585     0.21575     0.16763     0.14281         NaN         NaN     0.28026     0.42071     0.17943     0.18360     0.12994
 1998  6 15     0.19603     0.17051     0.16968     0.21235         NaN     0.19719     0.16057         NaN         NaN         NaN     0.26178     0.52369     0.18144         NaN         NaN
 1998  7 16     0.19841     0.15094     0.15201     0.16346         NaN     0.21172     0.16659         NaN         NaN         NaN     0.25201     0.60881     0.16571     0.13972         NaN
 1998  8 16     0.20848     0.15347     0.14949     0.14772     0.12895     0.22884     0.15482     0.12597     0.16164         NaN     0.29205     0.48132     0.16256     0.15211     0.15843
 1998  9 15     0.22691     0.15691     0.15572     0.15118     0.12822     0.25942     0.16841     0.13907     0.14530         NaN     0.31820     0.42200     0.16783     0.17461     0.14441
 1998 10 16     0.25006     0.16922     0.18775     0.17411     0.13796     0.27308     0.16533     0.14648     0.16816         NaN     0.33700     0.52413     0.18363     0.25614     0.21089
 1998 11 15     0.22095     0.17854     0.25097     0.24560     0.18767     0.24939     0.16967     0.17234     0.27192     1.47704     0.32113     0.50764     0.23144     0.30365     0.18817
 1998 12 16     0.20947     0.19115     0.27465     0.34156     0.35224     0.20452     0.19569     0.25690     0.32300     0.96928     0.30486     0.47260     0.33135     0.31893     0.32659
 1999  1 16     0.19965     0.18174     0.16767     0.22496     0.45445     0.14463     0.19451     0.17591     0.28432     0.74279     0.34415     0.58078     0.42914     0.32357     0.45229
 1999  2 14     0.20311     0.18506     0.14435     0.18379     0.34273     0.14145     0.18837     0.11786     0.21228     0.58802     0.30197     0.48854     0.36176     0.28782     0.41474
 1999  3 16     0.21787     0.17738     0.15545     0.16121     0.22378     0.14921     0.21023     0.12553     0.14800     0.32623     0.26454     0.41758     0.24853     0.21267     0.18082
 1999  4 15     0.20210     0.16866     0.16402     0.14416     0.12653     0.17326     0.18139     0.12606     0.14510     0.15089     0.29138     0.37016     0.19515     0.18652     0.15002
 1999  5 16     0.21339     0.17055     0.15876     0.15761     0.11933     0.19476     0.15799     0.10040         NaN         NaN     0.28279     0.38003     0.19636     0.18924     0.15990
 1999  6 15     0.20495     0.16558     0.17386         NaN         NaN     0.19545     0.15729         NaN         NaN         NaN     0.28036     0.42908     0.20897         NaN         NaN
 1999  7 16     0.19410     0.15382     0.16318     0.18105         NaN     0.19461     0.15579         NaN         NaN         NaN     0.24407     0.36298     0.23109     0.16928         NaN
 1999  8 16     0.20913     0.15941     0.16099     0.15287     0.14058     0.22079     0.15531     0.13634     0.14017         NaN     0.28511     0.41049     0.18571     0.15535     0.14722
 1999  9 15     0.24743     0.16446     0.16662     0.15786     0.13297     0.29922     0.18521     0.13701     0.13885     0.12947     0.31145     0.47134     0.21570     0.17684     0.19031
 1999 10 16     0.26029     0.18176     0.19209     0.18465     0.13501     0.27593     0.16997     0.14865     0.17523     0.15284     0.35569     0.43317     0.22299     0.22923     0.16418
 1999 11 15     0.24651     0.18785     0.27670     0.28756     0.16901     0.23197     0.20187     0.21077     0.24239     0.49678     0.34737     0.55938     0.38372     0.36804     0.24793
 1999 12 16     0.22876     0.19517     0.29640     0.37417     0.34535     0.19363     0.20148     0.22714     0.36059     0.94096     0.30750     0.39543     0.26499     0.29744     0.42881
 2000  1 16     0.23556     0.18423     0.18127     0.27692     0.57780     0.15293     0.17823     0.16601     0.25315     0.87555     0.29548     0.39561     0.26087     0.28447     0.48969
 2000  2 15     0.22110     0.20338     0.17043     0.21098     0.42652     0.17093     0.18531     0.12585     0.18034     0.74677     0.27175     0.40868     0.22979     0.37920     0.42556
 2000  3 16     0.20202     0.17641     0.16481     0.16832     0.25173     0.17477     0.18884     0.12814     0.13405     0.30531     0.28404     0.33647     0.19024     0.38896     0.28063
 2000  4 15     0.20550     0.17548     0.15720     0.14509     0.14337     0.18212     0.16631     0.12307     0.11590     0.15979     0.28733     0.30597     0.19126     0.30189     0.28626
 2000  5 16     0.20594     0.16847     0.16938     0.15914         NaN     0.20390     0.16161     0.11445         NaN         NaN     0.27235     0.34537     0.19462     0.26861     0.28240
 2000  6 15     0.20195     0.17439     0.18856         NaN         NaN     0.20091     0.15804         NaN         NaN         NaN     0.28079     0.48637     0.22900         NaN         NaN
 2000  7 16     0.19921     0.16044     0.16744     0.16384         NaN     0.20514     0.16239         NaN         NaN         NaN     0.27390     0.50860     0.17854     0.13880         NaN
 2000  8 16     0.20309     0.15485     0.15387     0.16231     0.15148     0.20039     0.15242     0.14085     0.14560         NaN     0.29693     0.38179     0.17896     0.18192     0.18546
 2000  9 15     0.20972     0.15560     0.15582     0.16379     0.14373     0.30263     0.18293     0.14860     0.14717     0.09283     0.29451     0.36578     0.18884     0.18611     0.19387
 2000 10 16     0.23410     0.17458     0.16679     0.17539     0.15114     0.27679     0.17697     0.15987     0.17667     0.16619     0.35508     0.47029     0.20896     0.24166     0.17530
 2000 11 15     0.28308     0.20696     0.22548     0.19892     0.15224     0.23532     0.17795     0.18594     0.24787     0.21533     0.30287     0.55100     0.27069     0.29059     0.21482
 2000 12 16     0.21592     0.22528     0.24999     0.25498     0.41153     0.20513     0.20854     0.23197     0.27648     0.48909     0.34899     0.51945     0.36488     0.32134     0.47464
 2001  1 16     0.21808     0.22144     0.18248     0.22371     0.30993     0.17544     0.17814     0.12294     0.31571     0.79236     0.31903     0.51875     0.37620     0.26325     0.51694
 2001  2 14     0.22675     0.23368     0.15202     0.17577     0.22098     0.16513     0.19175     0.11043     0.25624     0.83021     0.27971     0.48101     0.32766     0.23672     0.50633
 2001  3 16     0.20338     0.21545     0.15987     0.15925     0.17186     0.17198     0.19975     0.11871     0.19367     0.50308     0.26891     0.42756     0.29476     0.24673     0.42599
 2001  4 15     0.20445     0.18754     0.15596     0.14180     0.13062     0.20033     0.17960     0.12186     0.13324     0.14527     0.27868     0.32523     0.22976     0.21260     0.15922
 2001  5 16     0.20973     0.18216     0.17872     0.17337         NaN     0.20102     0.16752         NaN         NaN         NaN     0.26450     0.41989     0.22088     0.16653     0.15068
 2001  6 15     0.20082     0.17856     0.20683     0.24812         NaN     0.20486     0.16784         NaN         NaN         NaN     0.24422     0.46799     0.24778         NaN         NaN
 2001  7 16     0.20219     0.15301     0.16515     0.17592         NaN     0.19164     0.15006         NaN         NaN         NaN     0.23900     0.50969     0.18511     0.15265         NaN
 2001  8 16     0.20982     0.15403     0.15472     0.15374     0.14258     0.21617     0.15252     0.14484     0.13234         NaN     0.27321     0.53312     0.16248     0.15888     0.15415
 2001  9 15     0.22851     0.15616     0.16264     0.15567     0.14531     0.33990     0.19234     0.13646     0.13965     0.13199     0.28057     0.43944     0.17873     0.17291     0.15301
 2001 10 16     0.24934     0.16987     0.17531     0.18479     0.21717     0.26613     0.18231     0.14018     0.21361     0.15718     0.33071     0.46782     0.21833     0.22880     0.15581
 2001 11 15     0.23567     0.19943     0.26569     0.26264     0.16123     0.24945     0.19136     0.21572     0.40607     0.70955     0.27339     0.54198     0.26276     0.35850     0.28051
 2001 12 16     0.17137     0.16484     0.31081     0.32847     0.36744     0.18755     0.19159     0.21321     0.32511     1.19738     0.25592     0.52138     0.32633     0.41227     0.39744
 2002  1 16     0.17567     0.16704     0.14275     0.18012     0.34853     0.15646     0.16931     0.15076     0.24392     1.25026     0.22959     0.49849     0.33103     0.24668     0.33978
 2002  2 14     0.17928     0.18960     0.15407     0.16578     0.22418     0.15392     0.16484     0.11844     0.19142     0.75863     0.23245     0.41110     0.22952     0.23749     0.28992
